Origin
PENK
POMC
PDYN
PNOC
AVP
CCK
SST
NPY
PYY
CALCB
IAPP
ADM
NPPA
NPPC
NMB
EDN1
VIP
ADCYAP1
GIP
UCN
UTS2
TAC1
TAC3
NMU
KNG1
NTS
CHGA
CHGB
SCG2
SCG3
SCGN
SCG5
VGF
MLN
GHRL
GALP
GNRH1
NPB
NPW
NXPH1
NXPH2
NXPH3
NXPH4
IGF1
IGF2
RLN2
PROK2
TRH
PTHLH
HCRT
APLN
CBLN1
CBLN2
CBLN3
CBLN4
NAMPT
RETN
NUCB2
DBI
CRH
